position,season,week,"('Unnamed: 0_level_0', 'Player')","('PASSING', 'ATT')","('PASSING', 'CMP')","('PASSING', 'YDS')","('PASSING', 'TDS')","('PASSING', 'INTS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
QB,2025,3,Josh Allen BUF,31.3,20.4,237.6,1.8,0.5,7.8,39.5,0.7,0.2,23.8
QB,2025,3,Lamar Jackson BAL,28.9,19.1,237.6,2.0,0.5,7.6,49.4,0.3,0.3,23.2
QB,2025,3,Jalen Hurts PHI,27.7,18.7,207.8,1.2,0.5,8.6,38.7,0.8,0.3,20.8
QB,2025,3,Patrick Mahomes II KC,34.2,23.0,247.8,1.6,0.6,5.8,31.5,0.2,0.2,19.9
QB,2025,3,Justin Herbert LAC,32.7,21.5,248.8,1.6,0.5,5.3,23.7,0.2,0.2,18.7
QB,2025,3,Caleb Williams CHI,33.2,21.4,233.0,1.5,0.6,5.7,31.0,0.2,0.3,18.7
QB,2025,3,Jayden Daniels WAS,25.8,17.6,195.9,1.3,0.4,7.6,42.0,0.3,0.2,18.6
QB,2025,3,Dak Prescott DAL,35.9,24.2,269.4,1.8,0.7,2.7,11.6,0.1,0.2,18.5
QB,2025,3,Baker Mayfield TB,32.0,21.6,236.8,1.8,0.8,5.0,21.0,0.1,0.3,18.3
QB,2025,3,Kyler Murray ARI,32.7,21.7,222.3,1.3,0.7,5.8,34.9,0.3,0.3,18.0
QB,2025,3,Drake Maye NE,33.6,22.3,233.0,1.4,0.7,4.5,27.5,0.2,0.3,17.2
QB,2025,3,Jared Goff DET,35.1,23.9,269.7,1.7,0.7,1.8,4.2,0.0,0.2,17.0
QB,2025,3,Bo Nix DEN,34.5,22.4,221.4,1.5,0.8,4.7,23.7,0.2,0.2,17.0
QB,2025,3,Daniel Jones IND,31.2,20.1,213.8,1.3,0.6,5.3,26.2,0.3,0.3,17.0
QB,2025,3,Jordan Love GB,30.5,19.7,235.9,1.6,0.6,2.9,12.3,0.1,0.2,16.9
QB,2025,3,Trevor Lawrence JAC,33.2,21.0,235.8,1.5,0.8,3.0,14.8,0.2,0.3,16.5
QB,2025,3,Russell Wilson NYG,32.6,21.0,231.0,1.3,0.6,5.1,20.0,0.1,0.2,16.3
QB,2025,3,C.J. Stroud HOU,32.8,20.6,245.0,1.3,0.7,4.3,18.2,0.1,0.2,16.2
QB,2025,3,Geno Smith LV,34.4,22.9,253.9,1.3,0.9,3.2,14.0,0.1,0.2,16.0
QB,2025,3,Michael Penix Jr. ATL,31.9,20.3,235.7,1.3,0.6,3.5,12.2,0.2,0.3,15.9
QB,2025,3,Aaron Rodgers PIT,33.1,21.3,234.1,1.6,0.6,1.3,5.5,0.0,0.2,15.7
QB,2025,3,Jake Browning CIN,32.6,22.0,241.6,1.4,0.9,2.5,10.9,0.1,0.2,15.6
QB,2025,3,Matthew Stafford LAR,34.5,22.5,247.5,1.4,0.6,1.4,5.0,0.0,0.2,15.4
QB,2025,3,Tyrod Taylor NYJ,29.3,19.5,208.8,1.1,0.7,5.6,26.8,0.2,0.4,15.3
QB,2025,3,Sam Darnold SEA,31.1,19.6,233.7,1.4,0.8,2.8,9.8,0.1,0.2,15.2
QB,2025,3,Tua Tagovailoa MIA,35.1,23.9,259.4,1.4,0.9,1.5,5.4,0.0,0.3,15.1
QB,2025,3,Bryce Young CAR,33.6,20.9,210.3,1.3,0.8,3.2,18.6,0.1,0.3,15.1
QB,2025,3,Mac Jones SF,33.0,21.6,218.6,1.5,0.8,2.7,8.3,0.1,0.3,14.5
QB,2025,3,Carson Wentz MIN,31.1,20.2,216.8,1.3,0.8,2.6,11.1,0.1,0.2,14.2
QB,2025,3,Cam Ward TEN,30.6,19.2,216.8,1.3,0.7,2.8,11.7,0.1,0.3,14.2
QB,2025,3,Spencer Rattler NO,32.0,19.5,206.7,1.0,0.7,3.9,20.0,0.1,0.3,13.8
QB,2025,3,Joe Flacco CLE,34.9,22.5,239.2,1.2,1.0,1.8,4.3,0.0,0.3,13.5
QB,2025,3,Marcus Mariota WAS,7.8,5.2,57.1,0.4,0.2,0.0,0.0,0.0,0.0,3.5
QB,2025,3,Jaxson Dart NYG,0.4,0.2,2.3,0.0,0.0,0.5,1.9,0.0,0.0,0.4
QB,2025,3,Dillon Gabriel CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Brock Purdy SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Trey Lance LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Zach Wilson MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Kenny Pickett LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Davis Mills HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Jalen Milroe SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Sam Howell PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Tyler Shough NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Malik Willis GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Hendon Hooker CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Anthony Richardson Sr. IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Tanner McKee PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Tyson Bagent CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Joe Milton III DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Shedeur Sanders CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Brandon Allen TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Andy Dalton CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Kirk Cousins ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Case Keenum CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Teddy Bridgewater TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Jimmy Garoppolo LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Jameis Winston NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Jacoby Brissett ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Jarrett Stidham DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Mitchell Trubisky BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Joshua Dobbs NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Cooper Rush BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Nick Mullens JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Mason Rudolph PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Kyle Allen DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Drew Lock SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,2025,3,Gardner Minshew II KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
