position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2025,3,CeeDee Lamb DAL,7.0,91.1,0.5,0.1,1.5,0.0,0.0,12.5
WR,2025,3,Ja'Marr Chase CIN,6.4,85.5,0.5,0.1,0.5,0.0,0.0,11.8
WR,2025,3,Amon-Ra St. Brown DET,7.0,83.5,0.6,0.1,1.0,0.0,0.0,11.7
WR,2025,3,Justin Jefferson MIN,5.8,81.0,0.6,0.0,0.7,0.0,0.0,11.4
WR,2025,3,Puka Nacua LAR,6.8,86.7,0.4,0.3,3.0,0.0,0.0,11.4
WR,2025,3,Malik Nabers NYG,6.5,82.3,0.5,0.1,0.7,0.0,0.0,11.4
WR,2025,3,Zay Flowers BAL,5.5,77.5,0.5,0.4,3.4,0.0,0.0,11.1
WR,2025,3,Mike Evans TB,5.1,69.8,0.6,0.0,0.0,0.0,0.0,10.5
WR,2025,3,Nico Collins HOU,5.4,78.8,0.4,0.0,0.1,0.0,0.0,10.5
WR,2025,3,Jaxon Smith-Njigba SEA,6.2,79.1,0.4,0.1,0.4,0.0,0.0,10.4
WR,2025,3,Davante Adams LAR,5.2,69.8,0.5,0.0,0.0,0.0,0.0,9.9
WR,2025,3,DK Metcalf PIT,4.6,68.1,0.5,0.0,0.1,0.0,0.0,9.9
WR,2025,3,Rome Odunze CHI,5.1,68.5,0.5,0.0,0.0,0.0,0.1,9.6
WR,2025,3,Ladd McConkey LAC,5.4,71.6,0.4,0.0,0.1,0.0,0.0,9.5
WR,2025,3,Tyreek Hill MIA,5.5,71.0,0.4,0.2,0.9,0.0,0.0,9.5
WR,2025,3,A.J. Brown PHI,4.8,69.0,0.4,0.0,0.0,0.0,0.0,9.4
WR,2025,3,Deebo Samuel Sr. WAS,4.7,60.6,0.4,1.0,7.6,0.1,0.0,9.4
WR,2025,3,Drake London ATL,5.3,69.3,0.4,0.0,0.1,0.0,0.0,9.3
WR,2025,3,Emeka Egbuka TB,4.7,59.5,0.5,0.3,1.4,0.0,0.0,9.0
WR,2025,3,Brian Thomas Jr. JAC,4.4,64.6,0.4,0.1,1.1,0.0,0.0,8.9
WR,2025,3,Courtland Sutton DEN,5.0,61.9,0.4,0.0,0.0,0.0,0.0,8.8
WR,2025,3,Terry McLaurin WAS,4.8,62.4,0.4,0.0,0.2,0.0,0.0,8.7
WR,2025,3,Garrett Wilson NYJ,5.7,68.0,0.3,0.1,0.6,0.0,0.1,8.7
WR,2025,3,Jameson Williams DET,3.7,61.6,0.3,0.9,3.6,0.0,0.0,8.6
WR,2025,3,Marvin Harrison Jr. ARI,4.6,61.6,0.4,0.0,0.2,0.0,0.0,8.5
WR,2025,3,George Pickens DAL,3.9,60.9,0.4,0.0,0.2,0.0,0.0,8.4
WR,2025,3,DJ Moore CHI,4.6,57.0,0.4,0.5,4.1,0.0,0.0,8.4
WR,2025,3,Jakobi Meyers LV,5.4,64.8,0.3,0.0,0.2,0.0,0.0,8.4
WR,2025,3,Tetairoa McMillan CAR,5.2,63.7,0.3,0.0,0.3,0.0,0.0,8.3
WR,2025,3,Keon Coleman BUF,4.0,58.2,0.4,0.0,0.1,0.0,0.0,8.3
WR,2025,3,Calvin Ridley TEN,4.4,61.6,0.3,0.1,0.4,0.0,0.0,8.2
WR,2025,3,Tee Higgins CIN,4.5,59.3,0.4,0.0,0.0,0.0,0.0,8.1
WR,2025,3,Jauan Jennings SF,4.8,58.2,0.4,0.0,0.1,0.0,0.0,8.1
WR,2025,3,Xavier Worthy KC,4.1,50.5,0.4,0.5,3.8,0.0,0.0,7.8
WR,2025,3,DeVonta Smith PHI,4.7,57.1,0.3,0.0,0.1,0.0,0.0,7.8
WR,2025,3,Jaylen Waddle MIA,4.5,59.7,0.3,0.1,0.8,0.0,0.0,7.7
WR,2025,3,Keenan Allen LAC,4.9,55.2,0.4,0.0,0.0,0.0,0.1,7.6
