position,season,week,"('Unnamed: 0_level_0', 'Player')","('PASSING', 'ATT')","('PASSING', 'CMP')","('PASSING', 'YDS')","('PASSING', 'TDS')","('PASSING', 'INTS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
QB,2025,14,Josh Allen BUF,30.0,20.3,243.3,1.9,0.7,6.5,35.4,0.7,0.2,23.8
QB,2025,14,Dak Prescott DAL,37.2,24.4,278.0,2.1,0.7,3.6,12.9,0.1,0.2,20.4
QB,2025,14,Jalen Hurts PHI,29.5,19.3,212.1,1.4,0.4,7.8,33.3,0.6,0.3,19.8
QB,2025,14,Patrick Mahomes II KC,34.1,21.5,238.7,1.6,0.7,4.9,27.3,0.2,0.1,19.3
QB,2025,14,Matthew Stafford LAR,34.6,23.2,261.8,2.2,0.5,1.3,3.6,0.0,0.2,18.8
QB,2025,14,Jared Goff DET,33.2,23.2,269.2,2.1,0.6,1.5,4.8,0.0,0.2,18.8
QB,2025,14,Lamar Jackson BAL,27.3,17.8,219.2,1.6,0.5,5.6,31.5,0.1,0.3,18.1
QB,2025,14,Joe Burrow CIN,36.8,23.8,249.0,1.9,0.6,2.5,10.3,0.1,0.2,18.0
QB,2025,14,Bo Nix DEN,34.1,22.3,226.7,1.7,0.7,4.4,20.1,0.2,0.2,18.0
QB,2025,14,Trevor Lawrence JAC,31.3,19.9,242.9,1.4,0.8,4.3,17.4,0.3,0.3,17.3
QB,2025,14,Baker Mayfield TB,30.4,19.9,229.3,1.7,0.6,3.4,17.7,0.1,0.2,17.3
QB,2025,14,Jordan Love GB,30.6,19.9,232.7,1.7,0.5,2.9,13.9,0.1,0.2,17.0
QB,2025,14,Daniel Jones IND,31.3,21.1,234.3,1.4,0.7,3.3,16.6,0.2,0.3,16.8
QB,2025,14,Justin Herbert LAC,28.7,18.0,225.1,1.4,0.7,3.6,20.0,0.1,0.2,16.1
QB,2025,14,Sam Darnold SEA,29.5,20.1,244.2,1.6,0.8,1.8,7.0,0.0,0.3,15.9
QB,2025,14,Jacoby Brissett ARI,35.9,23.8,239.1,1.3,0.6,3.2,13.7,0.1,0.3,15.8
QB,2025,14,Caleb Williams CHI,32.9,19.5,208.0,1.3,0.5,4.5,22.1,0.2,0.2,15.7
QB,2025,14,Tyrod Taylor NYJ,28.4,19.3,192.0,1.3,0.7,5.7,28.4,0.2,0.3,15.5
QB,2025,14,C.J. Stroud HOU,33.7,22.2,234.0,1.3,0.6,3.3,16.6,0.1,0.2,15.4
QB,2025,14,J.J. McCarthy MIN,29.1,18.4,239.2,1.3,1.1,2.8,14.0,0.1,0.3,15.3
QB,2025,14,Tyler Shough NO,32.9,21.0,228.1,1.2,0.8,3.7,13.6,0.1,0.3,14.3
QB,2025,14,Aaron Rodgers PIT,31.2,19.5,203.9,1.4,0.6,1.2,4.6,0.0,0.2,13.5
QB,2025,14,Tua Tagovailoa MIA,29.7,19.6,203.3,1.4,0.9,1.8,5.4,0.0,0.2,13.2
QB,2025,14,Marcus Mariota WAS,22.4,14.4,159.3,0.9,0.5,4.9,26.0,0.1,0.1,12.9
QB,2025,14,Shedeur Sanders CLE,29.2,17.4,189.4,1.2,0.8,2.5,10.9,0.1,0.2,12.6
QB,2025,14,Kirk Cousins ATL,32.0,19.7,208.5,1.2,0.7,1.3,4.8,0.0,0.3,12.5
QB,2025,14,Jayden Daniels WAS,14.5,9.3,140.5,1.0,0.4,4.6,24.0,0.1,0.1,12.1
QB,2025,14,Geno Smith LV,31.1,19.9,203.3,1.0,1.0,2.8,10.1,0.0,0.2,12.1
QB,2025,14,Cam Ward TEN,31.5,18.7,191.9,0.8,0.6,2.7,11.4,0.1,0.3,11.4
QB,2025,14,Trey Lance LAC,6.1,3.6,41.8,0.2,0.1,0.4,1.6,0.0,0.0,2.5
QB,2025,14,Brett Rypien IND,1.5,0.9,8.9,0.1,0.0,0.2,1.0,0.0,0.0,0.9
QB,2025,14,Jalen Milroe SEA,0.4,0.2,2.6,0.0,0.0,0.7,3.1,0.1,0.1,0.6
QB,2025,14,Spencer Rattler NO,0.9,0.6,5.7,0.1,0.0,0.1,0.6,0.0,0.0,0.5
QB,2025,14,Mitchell Trubisky BUF,0.6,0.4,4.9,0.1,0.0,0.2,0.8,0.0,0.0,0.5
QB,2025,14,Anthony Richardson Sr. IND,0.7,0.4,4.9,0.1,0.0,0.2,0.7,0.0,0.0,0.5
QB,2025,14,Joe Milton III DAL,0.8,0.5,5.5,0.1,0.0,0.2,0.4,0.0,0.0,0.5
QB,2025,14,Malik Willis GB,0.6,0.4,4.5,0.1,0.0,0.2,0.7,0.0,0.0,0.4
QB,2025,14,Gardner Minshew II KC,0.7,0.5,4.9,0.1,0.0,0.2,0.5,0.0,0.0,0.4
QB,2025,14,Joe Flacco CIN,0.8,0.5,4.9,0.1,0.0,0.1,0.5,0.0,0.0,0.4
QB,2025,14,Drew Lock SEA,0.6,0.4,4.6,0.1,0.0,0.2,0.6,0.0,0.0,0.4
QB,2025,14,Tyler Huntley BAL,0.6,0.4,4.1,0.1,0.0,0.2,0.8,0.0,0.0,0.4
QB,2025,14,Zach Wilson MIA,0.6,0.4,4.1,0.1,0.0,0.1,0.7,0.0,0.0,0.4
QB,2025,14,Nick Mullens JAC,0.7,0.4,4.7,0.1,0.0,0.2,0.4,0.0,0.0,0.4
QB,2025,14,Jimmy Garoppolo LAR,0.7,0.5,5.2,0.1,0.0,0.1,0.2,0.0,0.0,0.4
QB,2025,14,Tyson Bagent CHI,0.7,0.4,4.0,0.1,0.0,0.2,0.6,0.0,0.0,0.4
QB,2025,14,Dillon Gabriel CLE,0.7,0.4,4.1,0.1,0.0,0.2,0.6,0.0,0.0,0.4
QB,2025,14,Justin Fields NYJ,0.6,0.4,3.6,0.1,0.0,0.1,0.7,0.0,0.0,0.4
QB,2025,14,Jarrett Stidham DEN,0.7,0.5,4.6,0.1,0.0,0.2,0.3,0.0,0.0,0.4
QB,2025,14,Mason Rudolph PIT,0.6,0.4,3.8,0.1,0.0,0.2,0.5,0.0,0.0,0.4
QB,2025,14,Tanner McKee PHI,0.5,0.3,3.6,0.1,0.0,0.2,0.2,0.0,0.0,0.4
QB,2025,14,Davis Mills HOU,0.7,0.5,4.2,0.0,0.0,0.2,0.6,0.0,0.0,0.2
QB,2025,14,Teddy Bridgewater TB,0.7,0.4,4.6,0.0,0.0,0.2,0.4,0.0,0.0,0.2
QB,2025,14,Kenny Pickett LV,0.6,0.4,3.9,0.0,0.0,0.1,0.4,0.0,0.0,0.2
QB,2025,14,Brandon Allen TEN,0.6,0.4,3.4,0.0,0.0,0.1,0.3,0.0,0.0,0.2
QB,2025,14,Max Brosmer MIN,0.6,0.4,4.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1
