position,season,week,"('Unnamed: 0_level_0', 'Player')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
RB,2025,17,Christian McCaffrey SF,17.0,73.6,0.7,5.6,52.4,0.4,0.1,18.9
RB,2025,17,De'Von Achane MIA,17.2,88.4,0.6,4.4,32.5,0.3,0.1,17.7
RB,2025,17,Jonathan Taylor IND,21.2,99.6,0.8,2.9,19.1,0.1,0.1,17.5
RB,2025,17,Jahmyr Gibbs DET,14.7,77.3,0.7,4.5,35.7,0.2,0.1,17.0
RB,2025,17,Bijan Robinson ATL,17.1,82.7,0.5,4.4,40.0,0.2,0.1,16.5
RB,2025,17,James Cook III BUF,18.1,87.4,0.6,2.2,18.7,0.1,0.1,14.8
RB,2025,17,Saquon Barkley PHI,17.6,85.0,0.5,2.6,20.0,0.2,0.1,14.5
RB,2025,17,Derrick Henry BAL,16.1,78.8,0.8,1.4,13.5,0.1,0.1,14.0
RB,2025,17,Josh Jacobs GB,17.4,68.2,0.7,2.4,19.3,0.1,0.1,13.5
RB,2025,17,Javonte Williams DAL,16.5,77.5,0.6,2.2,12.5,0.1,0.1,13.0
RB,2025,17,Ashton Jeanty LV,15.7,65.5,0.4,3.7,25.5,0.2,0.1,12.4
RB,2025,17,Travis Etienne Jr. JAC,16.6,63.7,0.5,2.3,19.2,0.2,0.1,12.0
RB,2025,17,Chase Brown CIN,13.5,60.8,0.4,4.1,26.3,0.2,0.1,12.0
RB,2025,17,Bucky Irving TB,15.3,67.0,0.3,2.8,23.2,0.2,0.1,11.7
RB,2025,17,Kyren Williams LAR,14.0,63.3,0.5,2.2,14.8,0.1,0.1,11.7
RB,2025,17,TreVeyon Henderson NE,12.3,61.1,0.5,2.5,17.8,0.1,0.1,11.4
RB,2025,17,Omarion Hampton LAC,12.8,58.2,0.5,2.2,15.5,0.1,0.1,11.0
RB,2025,17,Breece Hall NYJ,15.3,65.5,0.3,2.3,19.7,0.1,0.1,10.7
RB,2025,17,Jaylen Warren PIT,13.3,59.0,0.4,2.2,17.6,0.1,0.1,10.4
RB,2025,17,D'Andre Swift CHI,13.4,57.0,0.4,2.2,17.7,0.1,0.1,10.4
RB,2025,17,Rico Dowdle CAR,14.4,59.1,0.4,2.3,16.7,0.1,0.1,10.2
RB,2025,17,RJ Harvey DEN,11.0,43.5,0.5,2.7,18.0,0.2,0.1,9.9
RB,2025,17,Kenneth Walker III SEA,13.0,57.6,0.4,1.9,14.9,0.1,0.1,9.7
RB,2025,17,Tyrone Tracy Jr. NYG,14.4,56.7,0.3,2.3,17.6,0.1,0.1,9.6
RB,2025,17,Aaron Jones Sr. MIN,11.0,55.9,0.2,2.4,18.8,0.1,0.1,9.1
RB,2025,17,Chris Rodriguez Jr. WAS,12.0,53.4,0.5,0.5,4.6,0.0,0.0,9.0
RB,2025,17,Tony Pollard TEN,15.1,59.8,0.3,1.9,11.0,0.0,0.1,8.9
RB,2025,17,Kenneth Gainwell PIT,8.9,35.8,0.3,3.7,23.5,0.2,0.1,8.6
RB,2025,17,Michael Carter ARI,11.8,51.2,0.3,2.5,19.1,0.1,0.2,8.6
RB,2025,17,Woody Marks HOU,12.7,46.0,0.3,1.5,12.7,0.1,0.1,8.4
RB,2025,17,Dylan Sampson CLE,13.4,46.0,0.2,2.6,20.7,0.1,0.1,8.3
RB,2025,17,Kyle Monangai CHI,10.7,45.8,0.4,1.1,9.3,0.0,0.0,8.0
RB,2025,17,David Montgomery DET,9.6,40.0,0.5,1.3,10.7,0.0,0.1,7.9
RB,2025,17,Zach Charbonnet SEA,10.5,40.7,0.5,1.2,9.1,0.0,0.0,7.8
RB,2025,17,Blake Corum LAR,9.8,45.7,0.3,1.0,6.9,0.1,0.0,7.6
RB,2025,17,Quinshon Judkins CLE,11.2,46.3,0.3,1.4,9.5,0.0,0.1,7.5
RB,2025,17,Rhamondre Stevenson NE,9.2,33.4,0.3,2.0,16.4,0.1,0.1,7.0
RB,2025,17,Kimani Vidal LAC,9.2,35.0,0.3,1.3,11.2,0.1,0.0,6.7
RB,2025,17,Isiah Pacheco KC,10.2,42.1,0.2,1.4,8.3,0.1,0.0,6.7
RB,2025,17,Audric Estime NO,10.9,36.1,0.2,1.9,15.9,0.1,0.1,6.6
RB,2025,17,Jordan Mason MIN,9.6,43.7,0.3,0.7,4.0,0.0,0.1,6.6
RB,2025,17,Kareem Hunt KC,9.6,30.8,0.4,1.4,9.2,0.1,0.0,6.5
RB,2025,17,Chuba Hubbard CAR,9.3,35.9,0.2,1.9,11.8,0.1,0.0,6.5
RB,2025,17,Devin Singletary NYG,11.0,37.7,0.3,0.9,6.2,0.0,0.0,6.3
RB,2025,17,Samaje Perine CIN,7.6,36.9,0.2,1.3,10.3,0.1,0.1,6.1
RB,2025,17,Tyler Allgeier ATL,7.7,30.5,0.4,0.7,5.4,0.0,0.0,6.0
RB,2025,17,Jacory Croskey-Merritt WAS,8.9,37.2,0.3,0.6,5.3,0.0,0.1,5.8
RB,2025,17,Tyjae Spears TEN,5.8,24.0,0.2,2.7,18.6,0.1,0.0,5.7
RB,2025,17,Emari Demercado ARI,4.8,30.0,0.2,1.5,11.0,0.1,0.1,5.3
RB,2025,17,Keaton Mitchell BAL,6.6,32.6,0.2,0.9,6.9,0.0,0.0,5.1
RB,2025,17,Jawhar Jordan HOU,5.9,25.2,0.2,1.2,9.7,0.1,0.1,4.8
RB,2025,17,Emanuel Wilson GB,6.5,27.8,0.2,0.9,6.2,0.0,0.0,4.7
RB,2025,17,Jaleel McLaughlin DEN,6.3,26.9,0.2,0.9,4.2,0.1,0.1,4.4
RB,2025,17,Nick Chubb HOU,6.7,25.2,0.2,0.6,4.0,0.0,0.0,4.4
RB,2025,17,Raheim Sanders CLE,5.8,23.0,0.2,0.8,6.8,0.1,0.0,4.3
RB,2025,17,Rachaad White TB,5.5,20.8,0.1,1.5,9.5,0.1,0.0,4.3
RB,2025,17,Malik Davis DAL,5.5,24.7,0.2,0.5,4.4,0.0,0.0,4.2
RB,2025,17,Brian Robinson Jr. SF,6.3,24.6,0.2,0.6,4.9,0.0,0.0,4.1
RB,2025,17,Isaiah Davis NYJ,4.4,21.4,0.1,1.2,9.0,0.0,0.0,4.0
RB,2025,17,Evan Hull NO,6.7,22.4,0.1,0.8,6.6,0.0,0.0,4.0
RB,2025,17,Alvin Kamara NO,0.0,20.8,0.1,1.5,10.1,0.1,0.0,3.9
RB,2025,17,Ty Johnson BUF,2.5,11.8,0.1,1.4,15.2,0.1,0.0,3.8
RB,2025,17,Jeremy McNichols WAS,2.7,14.0,0.1,1.5,12.0,0.1,0.1,3.3
RB,2025,17,LeQuint Allen Jr. JAC,4.5,17.1,0.1,0.8,5.5,0.0,0.0,3.1
RB,2025,17,Ameer Abdullah IND,3.4,15.0,0.1,1.1,6.2,0.0,0.0,2.9
RB,2025,17,Sean Tucker TB,3.3,15.6,0.2,0.2,1.5,0.0,0.0,2.9
RB,2025,17,Jaylen Wright MIA,4.1,16.1,0.1,0.5,3.8,0.0,0.0,2.8
