position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
TE,2025,3,Brock Bowers LV,6.3,67.4,0.3,0.0,8.9
TE,2025,3,Trey McBride ARI,6.9,67.3,0.3,0.0,8.7
TE,2025,3,Sam LaPorta DET,4.6,52.3,0.4,0.0,7.3
TE,2025,3,Travis Kelce KC,4.9,51.9,0.4,0.0,7.3
TE,2025,3,Tucker Kraft GB,3.9,50.1,0.3,0.0,7.0
TE,2025,3,Tyler Warren IND,4.7,50.8,0.3,0.1,6.8
TE,2025,3,Mark Andrews BAL,3.5,39.8,0.4,0.0,6.3
TE,2025,3,Juwan Johnson NO,4.7,47.5,0.3,0.0,6.2
TE,2025,3,Jake Ferguson DAL,5.0,46.6,0.3,0.0,6.1
TE,2025,3,Kyle Pitts Sr. ATL,3.7,44.8,0.2,0.0,5.9
TE,2025,3,Zach Ertz WAS,4.2,39.0,0.3,0.0,5.8
TE,2025,3,T.J. Hockenson MIN,4.4,42.9,0.2,0.0,5.6
TE,2025,3,David Njoku CLE,4.2,41.7,0.2,0.0,5.6
TE,2025,3,Hunter Henry NE,3.6,39.7,0.3,0.0,5.5
TE,2025,3,Jonnu Smith PIT,3.5,36.3,0.3,0.0,5.3
TE,2025,3,Dalton Kincaid BUF,3.5,35.9,0.3,0.0,5.1
TE,2025,3,Harold Fannin Jr. CLE,4.2,39.0,0.2,0.0,5.0
TE,2025,3,Chig Okonkwo TEN,4.0,39.8,0.2,0.0,5.0
TE,2025,3,Dallas Goedert PHI,3.5,38.3,0.2,0.0,4.9
TE,2025,3,Ja'Tavion Sanders CAR,3.6,34.5,0.2,0.0,4.7
TE,2025,3,Dalton Schultz HOU,3.3,34.4,0.2,0.0,4.5
TE,2025,3,Brenton Strange JAC,3.4,32.6,0.2,0.0,4.5
TE,2025,3,Pat Freiermuth PIT,3.2,31.3,0.2,0.0,4.4
TE,2025,3,Cade Otton TB,2.9,29.0,0.2,0.0,4.3
TE,2025,3,Jake Tonges SF,2.9,26.7,0.2,0.0,3.9
TE,2025,3,Theo Johnson NYG,2.5,26.3,0.1,0.0,3.4
TE,2025,3,Mike Gesicki CIN,2.5,24.8,0.2,0.0,3.4
TE,2025,3,Cole Kmet CHI,2.4,25.3,0.2,0.0,3.4
TE,2025,3,AJ Barner SEA,2.4,23.4,0.1,0.0,3.3
TE,2025,3,Mason Taylor NYJ,2.4,23.7,0.2,0.0,3.3
TE,2025,3,Tyler Higbee LAR,2.7,24.2,0.1,0.0,3.3
TE,2025,3,Noah Fant CIN,2.7,25.0,0.1,0.0,3.0
TE,2025,3,Adam Trautman DEN,2.2,19.5,0.1,0.0,2.8
TE,2025,3,Tyler Conklin LAC,2.1,20.9,0.1,0.0,2.8
TE,2025,3,Noah Gray KC,2.0,19.8,0.1,0.0,2.7
TE,2025,3,Michael Mayer LV,1.8,18.7,0.1,0.0,2.6
TE,2025,3,Colston Loveland CHI,1.7,18.0,0.1,0.0,2.5
TE,2025,3,Dawson Knox BUF,1.4,15.1,0.1,0.0,2.4
TE,2025,3,Tanner Conner MIA,1.9,18.4,0.1,0.0,2.3
TE,2025,3,Elijah Arroyo SEA,1.5,15.3,0.1,0.0,2.1
TE,2025,3,Luke Musgrave GB,1.2,14.3,0.1,0.0,2.0
TE,2025,3,Luke Farrell SF,1.5,13.1,0.1,0.0,1.9
TE,2025,3,Gunnar Helm TEN,1.4,13.8,0.1,0.0,1.8
TE,2025,3,Austin Hooper NE,1.4,12.7,0.1,0.0,1.7
TE,2025,3,Charlie Kolar BAL,1.0,10.6,0.1,0.0,1.6
TE,2025,3,Lucas Krull DEN,1.3,11.6,0.1,0.0,1.6
TE,2025,3,Tommy Tremble CAR,1.1,10.1,0.1,0.0,1.5
TE,2025,3,Jeremy Ruckert NYJ,1.2,10.8,0.1,0.0,1.4
TE,2025,3,Julian Hill MIA,1.1,10.9,0.0,0.0,1.4
TE,2025,3,Davis Allen LAR,1.0,9.1,0.1,0.0,1.3
TE,2025,3,Tip Reiman ARI,1.0,9.4,0.1,0.0,1.3
TE,2025,3,Josh Oliver MIN,0.9,8.3,0.1,0.0,1.2
TE,2025,3,Elijah Higgins ARI,1.0,9.1,0.1,0.0,1.2
TE,2025,3,Colby Parkinson LAR,0.9,8.2,0.1,0.0,1.1
