position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2025,6,Puka Nacua LAR,8.2,102.5,0.5,0.9,5.6,0.1,0.0,14.2
WR,2025,6,Amon-Ra St. Brown DET,6.8,76.3,0.6,0.1,0.7,0.0,0.0,11.5
WR,2025,6,George Pickens DAL,4.9,77.4,0.6,0.0,0.3,0.0,0.0,11.4
WR,2025,6,Jaxon Smith-Njigba SEA,6.3,85.2,0.4,0.4,2.0,0.0,0.1,11.2
WR,2025,6,Emeka Egbuka TB,5.1,71.0,0.6,0.2,1.2,0.0,0.1,10.8
WR,2025,6,Davante Adams LAR,4.9,69.6,0.6,0.0,0.0,0.0,0.0,10.6
WR,2025,6,Rome Odunze CHI,4.5,69.2,0.6,0.1,0.3,0.0,0.0,10.2
WR,2025,6,Ja'Marr Chase CIN,6.1,73.6,0.5,0.2,1.0,0.0,0.1,10.1
WR,2025,6,Jaylen Waddle MIA,5.5,72.1,0.4,0.2,0.6,0.0,0.0,9.8
WR,2025,6,Deebo Samuel Sr. WAS,4.6,57.2,0.4,1.6,9.9,0.1,0.0,9.8
WR,2025,6,Quentin Johnston LAC,4.6,64.5,0.5,0.3,1.5,0.0,0.1,9.7
WR,2025,6,Tetairoa McMillan CAR,5.0,69.1,0.4,0.0,0.4,0.0,0.1,9.5
WR,2025,6,DK Metcalf PIT,3.9,61.3,0.6,0.0,0.1,0.0,0.0,9.4
WR,2025,6,Courtland Sutton DEN,4.7,63.4,0.5,0.0,0.0,0.0,0.1,9.2
WR,2025,6,A.J. Brown PHI,4.8,66.4,0.4,0.0,0.0,0.0,0.0,9.1
WR,2025,6,Keenan Allen LAC,5.5,61.2,0.5,0.0,0.1,0.0,0.0,9.0
WR,2025,6,Xavier Worthy KC,4.2,54.9,0.4,1.3,7.3,0.1,0.0,9.0
WR,2025,6,Jakobi Meyers LV,5.7,64.4,0.4,0.0,0.7,0.0,0.0,8.7
WR,2025,6,Zay Flowers BAL,4.8,62.7,0.3,0.7,3.1,0.0,0.0,8.7
WR,2025,6,Brian Thomas Jr. JAC,4.4,62.0,0.4,0.2,1.3,0.0,0.0,8.7
WR,2025,6,Garrett Wilson NYJ,5.4,65.2,0.4,0.0,0.5,0.0,0.1,8.7
WR,2025,6,Drake London ATL,5.4,67.7,0.3,0.0,0.1,0.0,0.1,8.5
WR,2025,6,Marvin Harrison Jr. ARI,4.4,59.7,0.4,0.0,0.1,0.0,0.0,8.4
WR,2025,6,Ladd McConkey LAC,4.7,60.2,0.4,0.0,0.1,0.0,0.0,8.1
WR,2025,6,Ricky Pearsall SF,4.2,62.8,0.3,0.3,1.4,0.0,0.0,8.1
WR,2025,6,Michael Pittman Jr. IND,5.2,58.2,0.4,0.0,0.1,0.0,0.0,8.0
WR,2025,6,DJ Moore CHI,4.1,52.8,0.3,1.1,5.4,0.0,0.1,7.8
WR,2025,6,Chris Godwin Jr. TB,4.8,54.9,0.4,0.1,0.5,0.0,0.0,7.7
WR,2025,6,Chris Olave NO,5.4,58.7,0.3,0.0,0.1,0.0,0.0,7.5
WR,2025,6,Stefon Diggs NE,5.0,57.9,0.3,0.0,0.4,0.0,0.0,7.5
WR,2025,6,DeVonta Smith PHI,4.6,53.3,0.4,0.0,0.1,0.0,0.0,7.4
WR,2025,6,Romeo Doubs GB,3.1,42.9,0.5,0.0,0.0,0.0,0.0,7.3
WR,2025,6,Jameson Williams DET,3.0,51.4,0.3,0.4,3.1,0.0,0.0,7.3
WR,2025,6,Tre Tucker LV,3.6,47.1,0.3,0.8,4.6,0.0,0.0,7.2
WR,2025,6,Keon Coleman BUF,3.5,49.0,0.4,0.0,0.1,0.0,0.1,7.1
WR,2025,6,Terry McLaurin WAS,3.7,51.2,0.3,0.1,0.5,0.0,0.0,7.1
WR,2025,6,Tee Higgins CIN,4.0,49.6,0.4,0.0,0.0,0.0,0.0,7.0
WR,2025,6,Cooper Kupp SEA,4.2,51.3,0.3,0.0,0.2,0.0,0.0,7.0
WR,2025,6,Jauan Jennings SF,3.6,51.1,0.3,0.0,0.1,0.0,0.0,6.9
WR,2025,6,Calvin Ridley TEN,3.5,52.0,0.3,0.2,1.0,0.0,0.0,6.9
WR,2025,6,Rashid Shaheed NO,3.5,47.6,0.3,0.3,1.4,0.0,0.0,6.6
WR,2025,6,Jerry Jeudy CLE,4.0,57.0,0.2,0.0,0.2,0.0,0.0,6.6
WR,2025,6,Matthew Golden GB,3.2,42.1,0.3,0.9,4.1,0.0,0.1,6.6
WR,2025,6,Khalil Shakir BUF,4.0,46.3,0.3,0.1,0.6,0.0,0.0,6.4
WR,2025,6,Wan'Dale Robinson NYG,4.8,44.6,0.3,0.1,1.2,0.0,0.0,6.0
WR,2025,6,Malik Washington MIA,3.3,32.6,0.2,1.9,10.6,0.1,0.0,6.0
WR,2025,6,Darnell Mooney ATL,3.3,46.9,0.2,0.0,0.1,0.0,0.0,5.8
WR,2025,6,Darius Slayton NYG,3.0,44.9,0.2,0.0,0.3,0.0,0.1,5.6
WR,2025,6,Elic Ayomanor TEN,3.1,38.0,0.3,0.0,0.3,0.0,0.0,5.5
WR,2025,6,Troy Franklin DEN,3.3,37.7,0.3,0.1,0.9,0.0,0.0,5.5
WR,2025,6,Marquise Brown KC,3.3,38.9,0.3,0.0,0.1,0.0,0.0,5.4
