position,season,week,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,player_name,team
DST,2026,,Los Angeles Rams,2.4,0.7,0.5,0.0,0.2,0.0,17.5,302.2,6.9,,
DST,2026,,Philadelphia Eagles,2.0,0.8,0.4,0.0,0.2,0.0,19.5,347.8,6.5,,
DST,2026,,Los Angeles Chargers,3.1,0.7,0.6,0.0,0.1,0.0,24.5,359.0,6.4,,
DST,2026,,Jacksonville Jaguars,2.8,0.8,0.5,0.0,0.2,0.0,25.0,378.8,6.3,,
DST,2026,,Houston Texans,2.2,0.5,0.4,0.0,0.2,0.0,17.8,315.4,6.2,,
DST,2026,,New England Patriots,3.2,0.6,0.4,0.0,0.2,0.0,21.0,341.6,6.2,,
DST,2026,,Pittsburgh Steelers,2.7,0.6,0.3,0.0,0.2,0.0,20.8,336.0,5.6,,
DST,2026,,Buffalo Bills,2.4,0.8,0.4,0.0,0.1,0.0,26.5,354.3,5.6,,
DST,2026,,Chicago Bears,1.9,0.7,0.6,0.0,0.2,0.0,24.0,348.4,5.3,,
DST,2026,,Green Bay Packers,1.9,0.6,0.4,0.0,0.2,0.0,22.5,348.3,4.9,,
DST,2026,,Carolina Panthers,2.0,0.7,0.3,0.0,0.1,0.0,28.0,390.0,4.7,,
DST,2026,,San Francisco 49ers,1.9,0.6,0.4,0.0,0.1,0.0,25.0,351.0,4.7,,
